trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
57,0.11057551168568298,0.0011583803729336708,700,0.042013181849270664,6,2.6082232484623673,0.660191758523643,0.11057551168568298,0.007828404602139587,0.1108563840203284,13066.683586913707,20141.17663154066,7.705119009296681,7.221838709217708
58,0.10976523070429875,0.0006698163744740515,600,0.02856588001269308,5,4.9394161498696,0.5412652915999547,0.10976523070429875,0.006896782153834257,0.10998544224043669,13110.297891160648,20381.048529648837,7.662083288524521,7.24594394361717
59,0.11002560898910585,0.00030037838909007506,800,0.057563021043368724,6,3.8343508026250492,0.31554489454056445,0.11002560898910585,0.00785497214485184,0.11030901067469513,13086.151127121857,21032.931787935726,7.5877762162749605,7.232598243916266
60,0.1097412776772684,0.00047533550614635135,700,0.04161680861094992,6,1.3557295143351713,0.3831667136713103,0.1097412776772684,0.007086570155678402,0.10997173405732452,13051.6904844585,20874.798714991663,7.582205182101616,7.213552156094871
61,0.1088794795406487,0.000393344066005798,600,0.05153441287872421,5,1.861240803782752,0.574590656396093,0.1088794795406487,0.006380917427605119,0.10906956645832369,12906.411010802223,20043.401683912267,7.564448142384671,7.133257495286182
62,0.10852370511781217,0.0005648934184830991,500,0.049955405269396,5,2.848275795731174,0.5675756622122703,0.10852370511781217,0.007032701955167566,0.10875517744112059,12884.50228408211,19924.741732730134,7.559896041338655,7.121148738718798
63,0.10912082437947764,0.0006050705957668459,500,0.05299491132261411,5,2.065912875832959,0.5687886384059662,0.10912082437947764,0.007065672216392764,0.10935376160482432,12915.257447831194,20093.399267173343,7.5854356105794,7.138146841611097
64,0.11039504954349048,0.0008143686053526622,400,0.04637047225853222,4,2.8735896997995503,0.528527563244125,0.11039504954349048,0.006627936972435142,0.11059787780453122,13174.90424059021,20525.83629799404,7.687648767759797,7.281651292927973
65,0.11734986624260395,1.3423800940853274e-05,500,0.05381947912203184,5,1.816870384312138,0.5976125804175804,0.11734986624260395,0.00972626063315734,0.1177555679336155,13607.9308592079,21406.954540193474,8.039073623664901,7.520981217438186
66,0.10895864929634425,0.0005678781681143052,500,0.06282145911148074,5,1.1290044921566638,0.647790232211543,0.10895864929634425,0.006255243062421086,0.10914155870799344,12876.327956548168,19955.239885402993,7.5743579315598994,7.116630861277764
67,0.10909480548964971,0.00044289376026518916,600,0.04735160400467749,5,3.351732401612198,0.7026297834144694,0.10909480548964971,0.00638158125807518,0.10928508039517833,12954.625083322526,19913.371736862293,7.619644673658772,7.159904980314814
68,0.10942204038587086,0.00027126214289476024,800,0.03951898149941532,6,2.2697803882375096,0.5736794182748387,0.10942204038587086,0.006477903968167741,0.10961623796602535,12884.36240248518,20206.300464036376,7.558712300971289,7.121071427415996
69,0.10945392996354572,0.00036778258366632625,400,0.0344681236316978,6,2.936174020069975,0.662048338143487,0.10945392996354572,0.006258099770595354,0.1096366983562568,12972.193898564288,20109.20858736204,7.622420564611063,7.169615106770706
